V01301 V04001 V04002 V04003 V12001_701 V13003_701
53614 2018 2 1 -8.2000 36.5000 
53614 2018 2 2 -11.2000 33.0000 
53614 2018 2 3 -10.7000 33.8000 
53614 2018 2 4 -10.2000 34.3000 
53614 2018 2 5 -8.9000 32.8000 
53614 2018 2 6 -8.0000 33.0000 
53614 2018 2 7 -7.2000 33.3000 
53614 2018 2 8 -5.0000 32.0000 
53614 2018 2 9 -3.1000 21.5000 
53614 2018 2 10 -7.9000 25.8000 
53614 2018 2 11 -8.6000 23.3000 
53614 2018 2 12 -6.6000 30.5000 
53614 2018 2 13 -1.6000 28.5000 
53614 2018 2 14 -1.0000 22.5000 
53614 2018 2 15 -2.3000 31.3000 
53614 2018 2 16 -1.8000 34.0000 
53614 2018 2 17 0.3000 37.0000 
53614 2018 2 18 -0.3000 39.5000 
53614 2018 2 19 -0.1000 32.8000 
53614 2018 2 20 -4.2000 57.8000 
53614 2018 2 21 -3.2000 47.5000 
53614 2018 2 22 1.0000 17.0000 
53614 2018 2 23 -0.4000 25.3000 
53614 2018 2 24 1.0000 33.5000 
53614 2018 2 25 4.4000 29.0000 
53614 2018 2 26 6.4000 16.3000 
53614 2018 2 27 5.3000 30.8000 
53614 2018 2 28 6.6000 26.5000 
53614 2018 3 1 3.1000 33.3000 
53614 2018 3 2 8.7000 24.8000 
53614 2018 3 3 8.8000 23.3000 
53614 2018 3 4 7.0000 22.0000 
53614 2018 3 5 4.3000 23.0000 
53614 2018 3 6 6.9000 37.0000 
53614 2018 3 7 5.8000 30.5000 
53614 2018 3 8 2.6000 35.5000 
53614 2018 3 9 5.9000 31.3000 
53614 2018 3 10 7.1000 33.3000 
53614 2018 3 11 10.0000 25.5000 
53614 2018 3 12 12.3000 18.0000 
53614 2018 3 13 12.4000 26.3000 
53614 2018 3 14 13.4000 29.0000 
53614 2018 3 15 5.8000 38.5000 
53614 2018 3 16 6.8000 33.5000 
53614 2018 3 17 8.1000 65.8000 
53614 2018 3 18 7.5000 65.8000 
53614 2018 3 19 9.1000 59.0000 
53614 2018 3 20 9.0000 52.0000 
53614 2018 3 21 7.8000 54.5000 
53614 2018 3 22 9.1000 45.5000 
53614 2018 3 23 10.6000 32.5000 
53614 2018 3 24 10.6000 27.3000 
53614 2018 3 25 12.7000 30.3000 
53614 2018 3 26 15.2000 19.5000 
53614 2018 3 27 16.8000 17.3000 
53614 2018 3 28 16.7000 21.8000 
53614 2018 3 29 18.7000 24.3000 
53614 2018 3 30 17.3000 17.3000 
53614 2018 3 31 14.4000 29.5000 
53614 2018 4 1 16.1000 20.3000 
53614 2018 4 2 19.2000 14.5000 
53614 2018 4 3 14.4000 26.8000 
53614 2018 4 4 12.8000 30.5000 
53614 2018 4 5 7.2000 14.3000 
53614 2018 4 6 3.1000 23.8000 
53614 2018 4 7 7.9000 15.0000 
53614 2018 4 8 13.3000 11.8000 
53614 2018 4 9 15.0000 18.0000 
53614 2018 4 10 17.0000 11.8000 
53614 2018 4 11 13.1000 24.3000 
53614 2018 4 12 12.0000 46.3000 
53614 2018 4 13 9.2000 42.0000 
53614 2018 4 14 8.7000 27.3000 
53614 2018 4 15 10.5000 31.5000 
53614 2018 4 16 13.8000 27.5000 
53614 2018 4 17 16.6000 27.3000 
53614 2018 4 18 19.1000 32.8000 
53614 2018 4 19 22.9000 38.8000 
53614 2018 4 20 17.4000 57.5000 
53614 2018 4 21 16.0000 55.0000 
53614 2018 4 22 17.7000 51.3000 
53614 2018 4 23 12.6000 52.5000 
53614 2018 4 24 11.4000 65.3000 
53614 2018 4 25 14.9000 48.5000 
53614 2018 4 26 17.2000 37.0000 
53614 2018 4 27 17.6000 32.8000 
53614 2018 4 28 20.1000 30.0000 
53614 2018 4 29 19.9000 31.8000 
53614 2018 4 30 17.2000 31.8000 
53614 2018 5 1 15.6000 29.8000 
53614 2018 5 2 13.9000 28.8000 
53614 2018 5 3 17.3000 35.0000 
53614 2018 5 4 21.6000 34.5000 
53614 2018 5 5 18.0000 18.0000 
53614 2018 5 6 15.8000 33.3000 
53614 2018 5 7 18.7000 30.8000 
53614 2018 5 8 19.3000 41.8000 
53614 2018 5 9 17.9000 34.3000 
53614 2018 5 10 13.3000 73.5000 
53614 2018 5 11 17.0000 49.3000 
53614 2018 5 12 20.5000 25.8000 
53614 2018 5 13 24.0000 27.8000 
53614 2018 5 14 24.4000 42.5000 
53614 2018 5 15 24.5000 44.0000 
53614 2018 5 16 23.5000 30.0000 
53614 2018 5 17 21.6000 44.3000 
53614 2018 5 18 22.7000 24.5000 
53614 2018 5 19 19.6000 56.8000 
53614 2018 5 20 21.1000 57.5000 
53614 2018 5 21 16.9000 57.3000 
53614 2018 5 22 17.1000 16.8000 
53614 2018 5 23 18.1000 29.8000 
53614 2018 5 24 22.1000 34.5000 
53614 2018 5 25 22.5000 34.5000 
53614 2018 5 26 16.5000 36.3000 
53614 2018 5 27 19.6000 22.3000 
53614 2018 5 28 21.6000 22.3000 
53614 2018 5 29 21.0000 25.5000 
53614 2018 5 30 21.5000 28.0000 
53614 2018 5 31 23.8000 24.0000 
53614 2018 6 1 22.8000 39.0000 
